id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
DE-112018005641-T5,"Informationsverarbeitungsger?t, informationsverarbeitungsverfahren und programm ",Sony Corporation,"Yuhei Taki, Soichiro INATANI, Hiro Iwase, Ikuo Yamano",2017/11/21,2018/9/4,2020/7/9,,https://patents.google.com/patent/DE112018005641T5/de,https://patentimages.storage.googleapis.com/91/2b/34/f4c04d775869a7/DE112018005641T5_0001.png
DE-102017219188-A1,Verfahren zum Aktualisieren von Softwarekomponenten eines Netzwerkteilnehmers eines Netzwerks ,Robert Bosch Gmbh,Thomas Schroeder,2017/10/26,2017/10/26,2019/5/2,,https://patents.google.com/patent/DE102017219188A1/de,https://patentimages.storage.googleapis.com/6d/e2/41/814ce1f9522d01/DE102017219188A1_0001.png
DE-102017221363-A1,"Drahtloses kommunikationssystem, fahrzeug, intelligente vorrichtung und steuerverfahren davon ","Hyundai Motor Company, Kia Motors Corporation","Seul Ki Jeon, Nam Woong Hur, Eung Hwan Kim, Dong Woo HAN, Ge Nie JANG, Jeong Eun SHIN",2017/7/4,2017/11/29,2019/1/10,,https://patents.google.com/patent/DE102017221363A1/de,https://patentimages.storage.googleapis.com/e9/ed/1d/2742f8e1adaa7e/DE102017221363A1_0001.png
DE-112017006705-T5,Hyperchip ,Intel Corporation,"Mark T. Bohr, Wilfred Gomes, Rajesh Kumar, Pooya Tadayon, Doug Ingerly",2016/12/29,2017/12/21,2019/9/12,,https://patents.google.com/patent/DE112017006705T5/de,https://patentimages.storage.googleapis.com/24/9a/b3/cdb374820b1b67/DE112017006705T5_0001.png
DE-112018002568-T5,"Verfahren, Systeme und Vorrichtung zur Reduzierung von Speicherlatenz beim Abrufen von Pixelkernen ",Movidius Ltd.,"Richard Boyd, Richard RICHMOND",2017/5/19,2018/5/18,2020/2/27,,https://patents.google.com/patent/DE112018002568T5/de,https://patentimages.storage.googleapis.com/10/34/e6/de61109edc70e8/DE112018002568T5_0024.png
DE-102018133258-A1,Netzwerkgest?tzter partikelsensor ,Honeywell International Inc.,"Adam Dewey McBrady, Stephan Bork, Teresa Marta",2017/12/22,2018/12/20,2019/6/27,,https://patents.google.com/patent/DE102018133258A1/de,https://patentimages.storage.googleapis.com/c9/de/f0/6ec5c2d77c5404/DE102018133258A1_0001.png
DE-202018001443-U1,Vorrichtung zur Fern?berwachung von Abfallsammelbeh?lter ,DB Kommunikationstechnik GmbH,,2017/8/31,2018/3/17,2018/3/27,,https://patents.google.com/patent/DE202018001443U1/de,https://patentimages.storage.googleapis.com/7a/9f/ae/1adbdc767eacd3/DE202018001443U1_0001.png
DE-112017003893-T5,"Vorrichtung, System und Verfahren zum Kommunizieren einer Einzeltr?ger- (SC) -?bertragung ",Intel Corporation,"Artyom Lomayev, Iaroslav P. Gagiev, Alexander Maltsev, Michael Genossar, Carlos Cordeiro",2016/8/4,2017/3/30,2019/4/25,,https://patents.google.com/patent/DE112017003893T5/de,https://patentimages.storage.googleapis.com/10/f7/d8/82553883b91ed9/DE112017003893T5_0030.png
DE-102016225360-A1,Nachladen kryptographischer Programminstruktionen ,Bundesdruckerei Gmbh,"Christian Seegebarth, Frank Dietrich",2016/12/16,2016/12/16,2018/6/21,,https://patents.google.com/patent/DE102016225360A1/de,https://patentimages.storage.googleapis.com/e5/60/a6/724b8a0a069f95/DE102016225360A1_0001.png
DE-102016209315-A1,"Thermoelektrische Anordnung, insbesondere thermoelektrische Sensoranordnung, sowie entsprechendes Herstellungsverfahren ",Robert Bosch Gmbh,"Tobias Zoller, Ricardo Ehrenpfordt, Cristian Nagel",2016/5/30,2016/5/30,2017/11/30,,https://patents.google.com/patent/DE102016209315A1/de,https://patentimages.storage.googleapis.com/91/45/e2/1b016c430212ed/DE102016209315A1_0002.png
DE-112017008306-T5,Halbleiterbauelement mit gestapelten transistoren und einer mehrfach-schwellenspannungssteuerung ,Intel Corporation,"Aaron D. Lilak, Rishabh Mehandru, Gilbert Dewey, Willy Rachmady",2017/12/26,2017/12/26,2020/9/17,,https://patents.google.com/patent/DE112017008306T5/de,https://patentimages.storage.googleapis.com/3e/8b/74/e942cfa26f6eaa/DE112017008306T5_0001.png
DE-112018002578-T5,Verfahren und vorrichtung zur verbesserungder datentransformation in verarbeitungsvorrichtungen ,Movidius Ltd.,Fergal CONNOR,2017/5/19,2018/5/18,2020/2/27,,https://patents.google.com/patent/DE112018002578T5/de,https://patentimages.storage.googleapis.com/2d/5b/65/8fee75295ceb92/DE112018002578T5_0001.png
DE-112017006735-T5,"Kommunikationsvorrichtungen, infrastrukturger?te und verfahren ",Sony Corporation,"Shin Horng Wong, Martin Warwick Beale",2017/1/5,2017/12/5,2019/10/24,,https://patents.google.com/patent/DE112017006735T5/de,https://patentimages.storage.googleapis.com/0a/ac/4a/853fe96fc409cf/DE112017006735T5_0003.png
DE-112017005578-T5,Bicasten von informationen zu einer teilnehmervorrichtung eines drahtlosen telekommunikationsnetzwerks ,Intel IP Corporation,"Candy Yiu, Kyeongin Jeong, Yujian Zhang",2016/11/4,2017/11/3,2019/8/29,,https://patents.google.com/patent/DE112017005578T5/de,https://patentimages.storage.googleapis.com/8d/ca/4b/7d0f8b259bf405/DE112017005578T5_0001.png
DE-102017101552-A1,Verfahren zum Kompensieren der Sondenfehlanordnung und Sondenvorrichtung ,Mpi Corporation,"Yu-Hsun HSU, Stojan Kanev, Chen-Ching Chen, Po-Yi Ting",2016/1/29,2017/1/26,2017/8/3,,https://patents.google.com/patent/DE102017101552A1/de,https://patentimages.storage.googleapis.com/9a/ee/2d/3ad0b87951d409/DE102017101552A1_0002.png
DE-112017004544-T5,Best?tigung in gebundenen oder duplizierten Kan?len ,Intel IP Corporation,"Solomon Trainin, Miki Genossar, Carlos Cordeiro",2016/9/9,2017/3/30,2019/6/13,,https://patents.google.com/patent/DE112017004544T5/de,https://patentimages.storage.googleapis.com/a2/c6/14/99e8582f7d83d5/DE112017004544T5_0001.png
DE-202017007203-U1,System zum ?berwachen und Fernsteuern eines Ladezustands von zumindest einem Akkupack ,Einhell Germany Ag,,2017/9/29,2017/9/29,2020/1/27,,https://patents.google.com/patent/DE202017007203U1/de,https://patentimages.storage.googleapis.com/2c/3b/08/5a8ba0a6d094e4/DE202017007203U1_0001.png
DE-102017208561-A1,Gyrosensor-vorrichtung ,Denso Corporation,"Takamoto Watanabe, Shigenori Yamauchi",2016/5/20,2017/5/19,2017/11/23,,https://patents.google.com/patent/DE102017208561A1/de,https://patentimages.storage.googleapis.com/7a/fd/ec/1174de23f61b58/DE102017208561A1_0002.png
DE-102018206453-B3,Digital-Analog-Umsetzer mit in Reihe geschalteten Kapazit?ten ,Fraunhofer-Gesellschaft zur F?rderung der angewandten Forschung e.V.,"Elmar Herzer, Leonhard Klein, Muhammad Khubaib Ul Hassan Khan",2017/12/28,2018/4/26,2019/5/2,2019/5/2,https://patents.google.com/patent/DE102018206453B3/de,https://patentimages.storage.googleapis.com/07/ff/36/f2e5435473c466/DE102018206453B3_0001.png
